A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A2,B40,CW10,DQ6,DR15,DR51,NA,NA,0.003130362
A2,B40,CW10,DQ7,DR11,NA,DR52,NA,0.001163852
A2,B40,CW10,DQ7,DR12,NA,DR52,NA,3.61196e-4
A2,B40,CW10,DQ7,DR4,NA,NA,DR53,0.001193952
A2,B40,CW10,DQ8,DR4,NA,NA,DR53,0.003832686
A2,B40,CW10,DQ9,DR7,NA,NA,DR53,3.31096e-4
A2,B40,CW10,DQ9,DR9,NA,NA,DR53,5.91959e-4
A2,B40,CW15,DQ4,DR8,NA,NA,DR53,1.30432e-4
A2,B40,CW15,DQ7,DR4,NA,NA,DR53,2.70897e-4
A2,B40,CW2,DQ2,DR7,NA,NA,DR53,1.90631e-4
A2,B40,CW2,DQ4,DR8,NA,NA,DR53,2.30764e-4
A2,B40,CW2,DQ5,DR10,NA,NA,NA,8.02657e-5
A2,B40,CW2,DQ5,DR16,DR51,NA,NA,1.50498e-4
A2,B40,CW2,DQ6,DR13,NA,DR52,NA,7.42458e-4
A2,B40,CW2,DQ6,DR15,DR51,NA,NA,1.20399e-4
A2,B40,CW2,DQ7,DR11,NA,DR52,NA,8.62856e-4
